Neighbourhood,Neighbourhood Id,Green Rebate Programs,Green Spaces,Pollutant Carcinogenic TEP Score,Pollutant Non-Carcinogenic TEP Score,Pollutants Released to Air,Tree Cover
West Humber-Clairville,1,428,2.078835532,5737.87,18658529.73,1585690,2895860.846
Mount Olive-Silverstone-Jamestown,2,250,1.048870056,29.76,2015,31,1303945.159
Thistletown-Beaumond Heights,3,118,0.939107957,0,0,0,1499129.97
Rexdale-Kipling,4,121,0.240663012,0,37632,35920,756382.2761
Elms-Old Rexdale,5,73,0.730089694,0,309,309,997510.8066
Kingsview Village-The Westway,6,181,0.310186768,0,730.4,332,1642485.293
Willowridge-Martingrove-Richview,7,259,0.348688375,0,0,0,1701247.392
Humber Heights-Westmount,8,114,0.431646057,0,15001173,72,1242746.671
Edenbridge-Humber Valley,9,129,0.544804291,0,0,0,2788998.758
Princess-Rosethorn,10,169,0.220794818,0,0,0,2013219.194
Eringate-Centennial-West Deane,11,313,2.891261519,0,151423.4,48397,2351731.69
Markland Wood,12,182,0.224255343,423.36,28665,441,1046837.578
Etobicoke West Mall,13,93,0.147624711,0,0,0,444920.612
Islington-City Centre West,14,391,0.51025012,1822.49,1163882.03,895785,2980850.369
Kingsway South,15,108,0.295550892,0,1004,470,1384810.86
Stonegate-Queensway,16,306,0.755267148,103.68,41707,17931,2514072.745
Mimico,17,241,0.716898274,114.85,266439.9,96927,1058931.427
New Toronto,18,109,0.593630152,0,98637,34919,522508.4252
Long Branch,19,92,0.323676887,0,3475.8,2405,750363.4083
Alderwood,20,192,0.292452196,107370,3099019,64042,1086909.783
Humber Summit,21,84,0.686271868,7785.9,24648447.6,521916,1017894.543
Humbermede,22,80,0.918793036,13030.8,2206558.6,699603,1018657.518
Pelmo Park-Humberlea,23,89,0.636607684,21.35,6928.37,2735,1068349.305
Black Creek,24,82,0.410027147,0,14395.8,6055,742477.3148
Glenfield-Jane Heights,25,177,0.808033611,260,8434,860,1209851.201
Downsview-Roding-CFB,26,235,0.852075706,2169.2,427209.6,256337,2455776.666
York University Heights,27,167,0.887333748,205788.1,962405.5,203624,2067412.314
Rustic,28,56,0.19744749,0,0,0,550083.8931
Maple Leaf,29,82,0.167833165,970.56,65715,1011,803509.8331
Brookhaven-Amesbury,30,113,0.405956959,1695.2,34254684.4,4409,834834.6989
Yorkdale-Glen Park,31,246,0.236609421,747.84,150769,82979,692811.6556
Englemount-Lawrence,32,379,0.20662549,0,0,0,924958.528
Clanton Park,33,126,0.097684055,318.72,21580,332,1017592.787
Bathurst Manor,34,165,1.311810051,0.72,116138,54508,1807970.566
Westminster-Branson,35,159,0.958620906,161.28,10920,168,1381709.352
Newtonbrook West,36,210,0.16749045,19.2,1300,20,1473787.509
Willowdale West,37,179,0.145828928,0,0,0,1169622.482
Lansing-Westgate,38,156,0.983552249,0,15001411,86,2818530.253
Bedford Park-Nortown,39,211,0.091683395,264.96,18009.2,314,2323264.953
St.Andrew-Windfields,40,206,0.541326375,0,1599,1599,3122841.342
Bridle Path-Sunnybrook-York Mills,41,85,1.732820954,0,16709.4,7653,5509235.049
